model,price,market,ecc_equipped,architecture,release_date,tensor_cores,tensor_core_gen,cuda_cores,base_clock_mhz,max_boost_clock_mhz,bus_type,bus_width,vram,clock_speed,bandwith,fp16,fp32,fp64,tdp,nv_link,bus_interface,L2 Cache (MB),Notes,profile,slot,eol,eol_date
RTX 6000 Ada Generation,7198,Professional,Yes,Ada Lovelace,12/3/2022,568,4th Gen (Ada),"18,176",915,"2,505",GDDR6,384,48,"20,000",960,"91,060","91,060","1,423.00",300,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,No,No
Tesla L40,8627.9899999999998,Datacenter,Yes,Ada Lovelace,8322,568,4th Gen (Ada),"18,176",735,"2,490",GDDR6,384,48,"2,250",864,"362,066","90,516","1,414.00",300,No,PCIe 4.0 x16,,PCIe card (dual-slot),,,No,No
GeForce RTX 4090,1948.99,Consumer,Partial Support,TSMC 4N,4679,512,4th Gen (Ada),"18,176","2,230","2,520",GDDR6X,384,24,"21,000","1,008","73,100","73,100","1,142.00",450,No,PCIe 4.0 x16,72.0,,,,No,No
RTX 5000 Ada Generation,4499.9899999999998,Professional,Yes,Ada Lovelace,8/9/2023,400,4th Gen (Ada),"12,800","1,155","2,550",GDDR6,256,32,"18,000",756,"65,280","65,280","1,020.00",250,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,No,No
Tesla H100,40745,Datacenter,Yes,Hopper,3/22/2022,640,4th Gen (Hopper),"14,592","1,065","1,688",HBM2e,"5,120",80,"1,000","2,039","756,449","51,200","25,600.00",350,2-way NVLink,PCIe 5.0 x16,,PCIe card (dual-slot),,,No,No
GeForce RTX 4080,1020.99,Consumer,No,TSMC 4N,8356,304,4th Gen (Ada),"9,728","2,210","2,505",GDDR6X,256,16,"22,400",717,"43,000","43,000",672.00,320,No,PCIe 4.0 x16,64.0,,,,No,No
RTX 4500 Ada Generation,4624.0799999999999,Professional,Yes,Ada Lovelace,8/9/2023,240,4th Gen (Ada),"7,680","2,070","2,580",GDDR6,192,24,"18,000",432,"39,630","39,630",619.00,210,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,No,No
Tesla A100 (80 GB),15800,Datacenter,Yes,Ampere,5/14/2020,432,3rd Gen (Ampere),"6,912",765,"1,410",HBM2,"5,120",80,"1,215","1,555","312,000","19,500","9,700.00",250,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,No,No
Tesla A16,2799,Datacenter,Yes,Ampere,4/12/2021,320,3rd Gen (Ampere),"5,120",885,"1,695",GDDR6,512,64,"7,242",800,"73,728","18,432","1,084.80",250,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,No,No
RTX A6000,3599,Professional,Yes,Ampere,10/5/2020,336,3rd Gen (Ampere),"10,752","1,410","1,800",GDDR6,384,48,"16,000",768,"38,710","38,710","1,209.67",300,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,No,No
